Дата	Характерный день	Торговый час	Характерный час	График ППП, МВтч	"Объем Торгового графика (скорректированное плановое почасовое потребление) МВт*час"	Объем покупки МВт*час	В т.ч. потери, отнесенные к объему покупки	Фактическое собственное потребление, МВтч	Покупка (+) / Продажа (-) на БР (BR+/-), МВтч	Объем покупки на БР (BR+), МВтч	Объем продажи на БР (BR-), МВтч
08.01.2015	выходной	8	минимум	0,65	0,65	0,67	0,02	0,46	-0,189	0,00	 0,19    
08.01.2015	выходной	9	минимум	0,65	0,65	0,67	0,02	0,47	-0,18	0,00	 0,18    
08.01.2015	выходной	10	минимум	0,65	0,65	0,67	0,02	0,47	-0,185	0,00	 0,19    
08.01.2015	выходной	11	полупик	0,65	0,65	0,67	0,02	0,45	-0,196	0,00	 0,20    
08.01.2015	выходной	12	полупик	0,65	0,65	0,669	0,019	0,50	-0,15	0,00	 0,15    
08.01.2015	выходной	13	полупик	0,65	0,65	0,669	0,019	0,52	-0,127	0,00	 0,13    
08.01.2015	выходной	14	полупик	0,65	0,65	0,669	0,019	0,54	-0,112	0,00	 0,11    
08.01.2015	выходной	15	полупик	0,65	0,65	0,669	0,019	0,47	-0,181	0,00	 0,18    
08.01.2015	выходной	16	полупик	0,65	0,65	0,669	0,019	0,44	-0,206	0,00	 0,21    
08.01.2015	выходной	17	полупик	0,65	0,65	0,669	0,019	0,45	-0,203	0,00	 0,20    
08.01.2015	выходной	18	полупик	0,65	0,65	0,669	0,019	0,44	-0,211	0,00	 0,21    
08.01.2015	выходной	19	полупик	0,65	0,65	0,669	0,019	0,44	-0,21	0,00	 0,21    
08.01.2015	выходной	20	полупик	0,65	0,65	0,669	0,019	0,44	-0,213	0,00	 0,21    
08.01.2015	выходной	21	полупик	0,65	0,65	0,67	0,02	0,43	-0,221	0,00	 0,22    
08.01.2015	выходной	22	полупик	0,65	0,65	0,67	0,02	0,43	-0,219	0,00	 0,22    
08.01.2015	выходной	23	минимум	0,65	0,65	0,669	0,019	0,43	-0,219	0,00	 0,22    
09.01.2015	выходной	0	минимум	0,65	0,65	0,67	0,02	0,43	-0,224	0,00	 0,22    
09.01.2015	выходной	1	минимум	0,65	0,65	0,67	0,02	0,43	-0,221	0,00	 0,22    
09.01.2015	выходной	2	минимум	0,65	0,65	0,67	0,02	0,43	-0,219	0,00	 0,22    
09.01.2015	выходной	3	минимум	0,65	0,65	0,671	0,021	0,43	-0,222	0,00	 0,22    
09.01.2015	выходной	4	минимум	0,75	0,75	0,774	0,024	0,43	-0,318	0,00	 0,32    
09.01.2015	выходной	5	минимум	0,75	0,75	0,774	0,024	0,44	-0,313	0,00	 0,31    
09.01.2015	выходной	6	минимум	0,75	0,75	0,774	0,024	0,49	-0,264	0,00	 0,26    
09.01.2015	выходной	7	минимум	0,75	0,75	0,773	0,023	0,57	-0,177	0,00	 0,18    
09.01.2015	выходной	8	минимум	0,75	0,75	0,773	0,023	0,57	-0,178	0,00	 0,18    
09.01.2015	выходной	9	минимум	0,75	0,75	0,773	0,023	0,53	-0,222	0,00	 0,22    
09.01.2015	выходной	10	минимум	0,75	0,75	0,773	0,023	0,49	-0,262	0,00	 0,26    
09.01.2015	выходной	11	полупик	0,75	0,75	0,773	0,023	0,48	-0,271	0,00	 0,27    
09.01.2015	выходной	12	полупик	0,75	0,75	0,773	0,023	0,48	-0,271	0,00	 0,27    
09.01.2015	выходной	13	полупик	0,75	0,75	0,773	0,023	0,48	-0,271	0,00	 0,27    
09.01.2015	выходной	14	полупик	0,75	0,75	0,772	0,022	0,49	-0,264	0,00	 0,26    
09.01.2015	выходной	15	полупик	0,75	0,75	0,772	0,022	0,49	-0,265	0,00	 0,27    
09.01.2015	выходной	16	полупик	0,75	0,75	0,772	0,022	0,46	-0,293	0,00	 0,29    
09.01.2015	выходной	17	полупик	0,75	0,75	0,772	0,022	0,43	-0,321	0,00	 0,32    
09.01.2015	выходной	18	полупик	0,75	0,75	0,772	0,022	0,43	-0,322	0,00	 0,32    
09.01.2015	выходной	19	полупик	0,95	0,95	0,978	0,028	0,43	-0,525	0,00	 0,53    
09.01.2015	выходной	20	полупик	0,95	0,95	0,979	0,029	0,42	-0,527	0,00	 0,53    
09.01.2015	выходной	21	полупик	0,95	0,95	0,979	0,029	0,42	-0,527	0,00	 0,53    
